# À arbitrer (deux IDs)
aeration.ts	aeration-travail-mise-en-service	R. 4222-20	LEGIARTI000018532294	LEGIARTI000018490423	main = valeur PRÉ-AUDIT
aeration.ts	aeration-travail-mise-en-service	R. 4222-21	LEGIARTI000036483604	LEGIARTI000018490425	main = valeur PRÉ-AUDIT
aeration.ts	aeration-travail-mise-en-service	Arrêté du 8 octobre 1987, art. 2, 3 et 4	JORFTEXT000000863044	JORFTEXT000000869716	main = valeur PRÉ-AUDIT
aeration.ts	aeration-travail-entretien-annuel	R. 4222-20	LEGIARTI000018532294	LEGIARTI000018490423	main = valeur PRÉ-AUDIT
aeration.ts	aeration-travail-entretien-annuel	Arrêté du 8 octobre 1987, art. 3	LEGIARTI000006678610	JORFTEXT000000869716	main = valeur PRÉ-AUDIT
aeration.ts	aeration-travail-locaux-pollution-specifique	Arrêté du 8 octobre 1987, art. 4	LEGIARTI000006678611	JORFTEXT000000869716	main = valeur PRÉ-AUDIT
aeration.ts	aeration-erp-chauffage-ventilation-annuelle	Arrêté du 25 juin 1980, art. CH 58 (vérification dans les conditions de la section II du chapitre Ier)	JORFTEXT000000290033	LEGITEXT000020303557	main = valeur PRÉ-AUDIT
aeration.ts	aeration-erp-ps-surveillance-qualite-air-inf-250	Arrêté du 25 juin 1980, art. PS 32 (rédaction arrêté du 9 mai 2006)	JORFTEXT000000290033	LEGITEXT000020303557	main = valeur PRÉ-AUDIT
aeration.ts	aeration-erp-ps-surveillance-qualite-air-sup-250	Arrêté du 25 juin 1980, art. PS 32 (rédaction arrêté du 9 mai 2006)	JORFTEXT000000290033	LEGITEXT000020303557	main = valeur PRÉ-AUDIT
aeration.ts	aeration-habitation-vmc-gaz-annuelle	Arrêté du 23 février 2018 (installations de gaz des bâtiments d'habitation) — remplace l'arrêté du 25 avril 1985, abrogé le 5 mars 2018	JORFTEXT000036667631	JORFTEXT000000686049	main = valeur PRÉ-AUDIT
ascenseurs.ts	ascenseur-entretien-contrat	CCH, art. R. 134-6 et R. 134-7 (ex R. 125-2 et R. 125-2-1)	LEGIARTI000043818737	LEGITEXT000006074096	main = valeur PRÉ-AUDIT
ascenseurs.ts	ascenseur-entretien-contrat	Arrêté du 18 novembre 2004 relatif à l'entretien des installations d'ascenseurs, art. 2 et annexe	JORFTEXT000000254219	JORFTEXT000000449641	main = valeur PRÉ-AUDIT
ascenseurs.ts	ascenseur-examen-semestriel-secours	CCH, art. R. 134-6 (examen semestriel du bon état des câbles)	LEGIARTI000043818737	JORFTEXT000000449641	main = valeur PRÉ-AUDIT
